Mounth,Amount
2009-01-01,473165
2009-02-01,421555
2009-03-01,511314
2009-04-01,487121
2009-05-01,521735
2009-06-01,550582
2009-07-01,593415
2009-08-01,566797
2009-09-01,493799
2009-10-01,547159
2009-11-01,531669
2009-12-01,625419
2010-01-01,493799
2010-02-01,523135
2010-03-01,594242
2010-04-01,555915
2010-05-01,600031
2010-06-01,613422
2010-07-01,658476
2010-08-01,586530
2010-09-01,560367
2010-10-01,594654
2010-11-01,578152
2010-12-01,644221
2011-01-01,548821
2011-02-01,568057
2011-03-01,598068
2011-04-01,608093
2011-05-01,600191
2011-06-01,674402
2011-07-01,745451
2011-08-01,621084
2011-09-01,650071
2011-10-01,656006
2011-11-01,654948
2011-12-01,724539
2012-01-01,652692
2012-02-01,592502
2012-03-01,658602
2012-04-01,626100
2012-05-01,650883
2012-06-01,695531
2012-07-01,701200
2012-08-01,634194
2012-09-01,683584
2012-10-01,688341
2012-11-01,693867
2012-12-01,766966
2013-01-01,614328
2013-02-01,678415
2013-03-01,725316
2013-04-01,646117
2013-05-01,700708
2013-06-01,789594
2013-07-01,717784
2013-08-01,771009
2013-09-01,770878
2013-10-01,719903
2013-11-01,807422
2013-12-01,860655
2014-01-01,753079
2014-02-01,702666
2014-03-01,765607
2014-04-01,726332
2014-05-01,752363
2014-06-01,851475
2014-07-01,777210
2014-08-01,826821
2014-09-01,791296
2014-10-01,808767
2014-11-01,764461
2014-12-01,915334
2015-01-01,724698
2015-02-01,794302
2015-03-01,792804
2015-04-01,750999
2015-05-01,794294
2015-06-01,815307
2015-07-01,815351
2015-08-01,853244
2015-09-01,870351
2015-10-01,826196
2015-11-01,777976
2015-12-01,913828
2016-01-01,814303
2016-02-01,888309
2016-03-01,915019
2016-04-01,901095
2016-05-01,915206
2016-06-01,857651
2016-07-01,1032741
2016-08-01,1031986
2016-09-01,1006653
2016-10-01,1040651
2016-11-01,1002333
2016-12-01,1113328
2017-01-01,1107968
2017-02-01,1023388
2017-03-01,1059777
2017-04-01,1171386
2017-05-01,1148588
2017-06-01,1144001
2017-07-01,1370591
2017-08-01,1393243
2017-09-01,1250231
2017-10-01,1161565
2017-11-01,1062030
2017-12-01,1147031
2018-01-01,1097839
2018-02-01,1197503
2018-03-01,1363426
2018-04-01,1302321
2018-05-01,1242705
2018-06-01,1322674
2018-07-01,1547231
2018-08-01,1511021
2018-09-01,1370943
2018-10-01,1291605
2018-11-01,1157483
2018-12-01,1405554
2019-01-01,1201735
2019-02-01,1243996
2019-03-01,1311911
2019-04-01,1274231
2019-05-01,1249536
2019-06-01,1434103
2019-07-01,1468173
2019-08-01,1530268
2019-09-01,1388719
2019-10-01,1346434
2019-11-01,1280781
2019-12-01,1377067
2020-01-01,1290411
2020-02-01,872765
2020-03-01,486155
2020-04-01,158066
2020-05-01,161842
2020-06-01,156561
2020-07-01,155742
2020-08-01,161549
2020-09-01,148984
2020-10-01,152293
2020-11-01,144476
2020-12-01,164079
2021-01-01,137230
2021-02-01,115765
2021-03-01,130933
2021-04-01,125001
2021-05-01,152604
2021-06-01,137247
2021-07-01,135438
2021-08-01,124751
2021-09-01,124071
2021-10-01,148645
2021-11-01,153199
2021-12-31,163619
