Mounth,gt
2009-01-01,291312
2009-02-01,219303
2009-03-01,576583
2009-04-01,274428
2009-05-01,396508
2009-06-01,314608
2009-07-01,314608
2009-08-01,317583
2009-09-01,274428
2009-10-01,299943
2009-11-01,266175
2009-12-01,305767
2010-01-01,329623
2010-02-01,302848
2010-03-01,458752
2010-04-01,776223
2010-05-01,681408
2010-06-01,592767
2010-07-01,694575
2010-08-01,560623
2010-09-01,651175
2010-10-01,857500
2010-11-01,592767
2010-12-01,338800
2011-01-01,979132
2011-02-01,776223
2011-03-01,813967
2011-04-01,685783
2011-05-01,1228927
2011-06-01,540988
2011-07-01,506527
2011-08-01,707868
2011-09-01,529375
2011-10-01,576583
2011-11-01,406567
2011-12-01,862407
2012-01-01,887151
2012-02-01,703423
2012-03-01,462343
2012-04-01,646912
2012-05-01,794983
2012-06-01,617463
2012-07-01,1097712
2012-08-01,469567
2012-09-01,852606
2012-10-01,887151
2012-11-01,707868
2012-12-01,685783
2013-01-01,1005487
2013-02-01,664048
2013-03-01,799708
2013-04-01,638428
2013-05-01,799708
2013-06-01,804447
2013-07-01,818747
2013-08-01,672700
2013-09-01,651175
2013-10-01,809200
2013-11-01,725788
2013-12-01,540988
2014-01-01,560623
2014-02-01,721287
2014-03-01,790272
2014-04-01,690172
2014-05-01,1228927
2014-06-01,1037575
2014-07-01,847728
2014-08-01,877212
2014-09-01,907200
2014-10-01,813967
2014-11-01,762300
2014-12-01,917308
2015-01-01,818747
2015-02-01,1270332
2015-03-01,1092175
2015-04-01,1103263
2015-05-01,927472
2015-06-01,892143
2015-07-01,872263
2015-08-01,1404928
2015-09-01,994903
2015-10-01,725788
2015-11-01,1312423
2015-12-01,1053808
2016-01-01,1461943
2016-02-01,1037575
2016-03-01,1016127
2016-04-01,1064700
2016-05-01,1182447
2016-06-01,1070167
2016-07-01,804447
2016-08-01,1223068
2016-09-01,867328
2016-10-01,942823
2016-11-01,963487
2016-12-01,1053808
2017-01-01,1276303
2017-02-01,1081143
2017-03-01,1392412
2017-04-01,1108828
2017-05-01,1240687
2017-06-01,989632
2017-07-01,1010800
2017-08-01,1153852
2017-09-01,1005487
2017-10-01,1165248
2017-11-01,882175
2017-12-01,1417500
2018-01-01,1306368
2018-02-01,1205575
2018-03-01,1205575
2018-04-01,1442812
2018-05-01,1639792
2018-06-01,1258432
2018-07-01,1417500
2018-08-01,1820700
2018-09-01,1633023
2018-10-01,1361367
2018-11-01,1936732
2018-12-01,1097712
2019-01-01,1792252
2019-02-01,1673847
2019-03-01,1468348
2019-04-01,1349047
2019-05-01,1687567
2019-06-01,1228927
2019-07-01,2187367
2019-08-01,2033647
2019-09-01,1694448
2019-10-01,1481199
2019-11-01,1048383
2019-12-01,1176700
2020-01-01,1430128
2020-02-01,1270332
2020-03-01,1461943
2020-04-01,1234800
2020-05-01,1404928
2020-06-01,1599388
2020-07-01,1474767
2020-08-01,1546300
2020-09-01,1592703
2020-10-01,1288287
2020-11-01,1367548
2020-12-01,1423807
2021-01-01,1878268
2021-02-01,1282288
2021-03-01,994903
2021-04-01,487872
2021-05-01,427063
2021-06-01,584647
2021-07-01,341887
2021-08-01,473200
2021-09-01,568575
2021-10-01,434007
2021-11-01,427063
2021-12-31,448063
